timestamp,T_primary,T_backup,R_meas_1,R_meas_2
2026-04-27 00:00,75.36,75.4,129.01,129.03
2026-04-27 00:10,74.45,74.46,128.66,128.67
2026-04-27 00:20,75.22,75.24,128.96,128.97
2026-04-27 00:30,74.9,75.08,128.84,128.91
2026-04-27 00:40,74.56,74.3,128.71,128.61
2026-04-27 00:50,74.94,74.98,128.85,128.87
2026-04-27 01:00,74.65,74.78,128.74,128.79
2026-04-27 01:10,75.19,75.04,128.95,128.89
2026-04-27 01:20,75.22,75.19,128.96,128.95
2026-04-27 01:30,74.48,74.55,128.67,128.7
2026-04-27 01:40,75.12,75.0,128.92,128.88
2026-04-27 01:50,75.4,75.48,129.03,129.06
2026-04-27 02:00,75.02,75.08,128.88,128.91
2026-04-27 02:10,75.71,75.61,129.15,129.11
2026-04-27 02:20,75.51,75.51,129.07,129.07
2026-04-27 02:30,76.32,76.04,129.38,129.28
2026-04-27 02:40,75.74,75.7,129.16,129.14
2026-04-27 02:50,75.47,75.76,129.06,129.17
2026-04-27 03:00,75.56,75.89,129.09,129.22
2026-04-27 03:10,75.43,75.48,129.04,129.06
2026-04-27 03:20,75.45,75.35,129.05,129.01
2026-04-27 03:30,75.72,75.67,129.15,129.13
2026-04-27 03:40,75.81,75.49,129.19,129.06
2026-04-27 03:50,76.57,76.54,129.48,129.47
2026-04-27 04:00,76.5,76.35,129.45,129.39
2026-04-27 04:10,75.95,76.42,129.24,129.42
2026-04-27 04:20,75.51,75.29,129.07,128.99
2026-04-27 04:30,75.67,75.74,129.13,129.16
2026-04-27 04:40,76.19,76.38,129.33,129.41
2026-04-27 04:50,75.83,75.59,129.19,129.1
2026-04-27 05:00,75.77,75.96,129.17,129.24
2026-04-27 05:10,76.15,75.86,129.32,129.21
2026-04-27 05:20,75.96,76.17,129.24,129.33
2026-04-27 05:30,76.84,76.92,129.58,129.61
2026-04-27 05:40,76.12,75.93,129.31,129.23
2026-04-27 05:50,75.66,75.67,129.13,129.13
2026-04-27 06:00,76.2,76.29,129.34,129.37
2026-04-27 06:10,75.81,75.63,129.19,129.12
2026-04-27 06:20,75.68,75.51,129.14,129.07
2026-04-27 06:30,76.24,75.9,129.35,129.22
2026-04-27 06:40,75.84,75.91,129.2,129.23
2026-04-27 06:50,76.57,76.58,129.48,129.48
2026-04-27 07:00,76.35,76.29,129.39,129.37
2026-04-27 07:10,75.63,75.53,129.12,129.08
2026-04-27 07:20,76.52,76.67,129.46,129.52
2026-04-27 07:30,76.08,76.58,129.29,129.48
2026-04-27 07:40,75.85,75.94,129.2,129.24
2026-04-27 07:50,75.95,75.92,129.24,129.23
2026-04-27 08:00,76.73,76.95,129.54,129.63
2026-04-27 08:10,75.21,75.15,128.96,128.93
2026-04-27 08:20,75.9,76.02,129.22,129.27
2026-04-27 08:30,75.15,74.81,128.93,128.8
2026-04-27 08:40,74.89,74.88,128.83,128.83
2026-04-27 08:50,75.56,75.62,129.09,129.11
2026-04-27 09:00,75.25,75.07,128.97,128.9
2026-04-27 09:10,74.7,74.75,128.76,128.78
2026-04-27 09:20,75.61,75.76,129.11,129.17
2026-04-27 09:30,75.73,75.7,129.16,129.14
2026-04-27 09:40,75.9,75.88,129.22,129.21
2026-04-27 09:50,75.04,74.96,128.89,128.86
2026-04-27 10:00,82.37,82.39,131.71,131.72
2026-04-27 10:10,83.18,83.08,132.02,131.99
2026-04-27 10:20,83.8,83.8,132.26,132.26
2026-04-27 10:30,82.69,82.68,131.84,131.83
2026-04-27 10:40,82.47,82.48,131.75,131.75
2026-04-27 10:50,83.97,84.13,132.33,132.39
2026-04-27 11:00,82.8,82.63,131.88,131.81
2026-04-27 11:10,83.08,82.96,131.99,131.94
2026-04-27 11:20,83.73,83.45,132.24,132.13
2026-04-27 11:30,82.79,82.79,131.87,131.87
2026-04-27 11:40,82.93,82.63,131.93,131.81
2026-04-27 11:50,82.33,82.53,131.7,131.77
2026-04-27 12:00,83.8,83.49,132.26,132.14
