timestamp,P_ann,masp
2026-04-27 00:00,412.93,1800.0
2026-04-27 00:10,414.77,1800.0
2026-04-27 00:20,415.3,1800.0
2026-04-27 00:30,413.73,1800.0
2026-04-27 00:40,415.23,1800.0
2026-04-27 00:50,414.35,1800.0
2026-04-27 01:00,416.03,1800.0
2026-04-27 01:10,417.22,1800.0
2026-04-27 01:20,416.72,1800.0
2026-04-27 01:30,417.48,1800.0
2026-04-27 01:40,413.39,1800.0
2026-04-27 01:50,416.09,1800.0
2026-04-27 02:00,417.55,1800.0
2026-04-27 02:10,418.43,1800.0
2026-04-27 02:20,414.1,1800.0
2026-04-27 02:30,417.75,1800.0
2026-04-27 02:40,419.98,1800.0
2026-04-27 02:50,417.35,1800.0
2026-04-27 03:00,417.64,1800.0
2026-04-27 03:10,418.85,1800.0
2026-04-27 03:20,418.56,1800.0
2026-04-27 03:30,419.52,1800.0
2026-04-27 03:40,418.42,1800.0
2026-04-27 03:50,418.68,1800.0
2026-04-27 04:00,416.9,1800.0
2026-04-27 04:10,418.21,1800.0
2026-04-27 04:20,421.13,1800.0
2026-04-27 04:30,418.29,1800.0
2026-04-27 04:40,418.42,1800.0
2026-04-27 04:50,417.83,1800.0
2026-04-27 05:00,420.44,1800.0
2026-04-27 05:10,417.2,1800.0
2026-04-27 05:20,420.76,1800.0
2026-04-27 05:30,417.09,1800.0
2026-04-27 05:40,416.87,1800.0
2026-04-27 05:50,419.41,1800.0
2026-04-27 06:00,419.26,1800.0
2026-04-27 06:10,419.59,1800.0
2026-04-27 06:20,421.11,1800.0
2026-04-27 06:30,418.14,1800.0
2026-04-27 06:40,419.83,1800.0
2026-04-27 06:50,417.09,1800.0
2026-04-27 07:00,421.38,1800.0
2026-04-27 07:10,420.08,1800.0
2026-04-27 07:20,419.83,1800.0
2026-04-27 07:30,419.07,1800.0
2026-04-27 07:40,417.05,1800.0
2026-04-27 07:50,417.89,1800.0
2026-04-27 08:00,419.47,1800.0
2026-04-27 08:10,418.34,1800.0
2026-04-27 08:20,418.52,1800.0
2026-04-27 08:30,415.45,1800.0
2026-04-27 08:40,418.43,1800.0
2026-04-27 08:50,416.57,1800.0
2026-04-27 09:00,415.66,1800.0
2026-04-27 09:10,417.39,1800.0
2026-04-27 09:20,413.86,1800.0
2026-04-27 09:30,418.83,1800.0
2026-04-27 09:40,419.0,1800.0
2026-04-27 09:50,417.04,1800.0
2026-04-27 10:00,415.01,1800.0
2026-04-27 10:10,414.96,1800.0
2026-04-27 10:20,416.39,1800.0
2026-04-27 10:30,411.68,1800.0
2026-04-27 10:40,416.73,1800.0
2026-04-27 10:50,417.53,1800.0
2026-04-27 11:00,415.41,1800.0
2026-04-27 11:10,414.88,1800.0
2026-04-27 11:20,416.06,1800.0
2026-04-27 11:30,416.22,1800.0
2026-04-27 11:40,417.54,1800.0
2026-04-27 11:50,415.21,1800.0
2026-04-27 12:00,413.62,1800.0
2026-04-27 12:10,413.9,1800.0
2026-04-27 12:20,415.02,1800.0
2026-04-27 12:30,417.59,1800.0
2026-04-27 12:40,413.66,1800.0
2026-04-27 12:50,412.03,1800.0
2026-04-27 13:00,412.22,1800.0
