timestamp,P_fthp
2026-04-27 00:00,1184.77
2026-04-27 00:10,1193.87
2026-04-27 00:20,1187.93
2026-04-27 00:30,1193.02
2026-04-27 00:40,1182.23
2026-04-27 00:50,1197.38
2026-04-27 01:00,1185.93
2026-04-27 01:10,1189.12
2026-04-27 01:20,1198.71
2026-04-27 01:30,1187.15
2026-04-27 01:40,1193.83
2026-04-27 01:50,1194.99
2026-04-27 02:00,1190.01
2026-04-27 02:10,1202.09
2026-04-27 02:20,1203.23
2026-04-27 02:30,1186.23
2026-04-27 02:40,1189.18
2026-04-27 02:50,1200.8
2026-04-27 03:00,1190.56
2026-04-27 03:10,1195.43
2026-04-27 03:20,1198.31
2026-04-27 03:30,1200.79
2026-04-27 03:40,1195.88
2026-04-27 03:50,1197.11
2026-04-27 04:00,1192.38
2026-04-27 04:10,1202.33
2026-04-27 04:20,1192.99
2026-04-27 04:30,1196.74
2026-04-27 04:40,1192.04
2026-04-27 04:50,1194.67
2026-04-27 05:00,1192.82
2026-04-27 05:10,1192.35
2026-04-27 05:20,1187.58
2026-04-27 05:30,1196.1
2026-04-27 05:40,1198.63
2026-04-27 05:50,1192.21
2026-04-27 06:00,1194.06
2026-04-27 06:10,1193.98
2026-04-27 06:20,1193.8
2026-04-27 06:30,1190.03
2026-04-27 06:40,1188.91
2026-04-27 06:50,1191.48
2026-04-27 07:00,1186.8
2026-04-27 07:10,1180.87
2026-04-27 07:20,1185.12
2026-04-27 07:30,1174.8
2026-04-27 07:40,1183.43
2026-04-27 07:50,1184.74
2026-04-27 08:00,1188.04
2026-04-27 08:10,1181.79
2026-04-27 08:20,1184.83
2026-04-27 08:30,1179.33
2026-04-27 08:40,1173.34
2026-04-27 08:50,1170.52
2026-04-27 09:00,1171.82
2026-04-27 09:10,1168.93
2026-04-27 09:20,1178.0
2026-04-27 09:30,1172.85
2026-04-27 09:40,1175.79
2026-04-27 09:50,1172.34
2026-04-27 10:00,1176.22
2026-04-27 10:10,1175.32
2026-04-27 10:20,1165.8
2026-04-27 10:30,1166.66
2026-04-27 10:40,1164.36
2026-04-27 10:50,1157.9
2026-04-27 11:00,1168.36
2026-04-27 11:10,1169.91
2026-04-27 11:20,1162.9
2026-04-27 11:30,1159.44
2026-04-27 11:40,1166.33
2026-04-27 11:50,1148.11
2026-04-27 12:00,1159.69
2026-04-27 12:10,1158.48
2026-04-27 12:20,1153.87
2026-04-27 12:30,1162.65
2026-04-27 12:40,1159.52
2026-04-27 12:50,1152.33
2026-04-27 13:00,1152.18
2026-04-27 13:10,1149.65
2026-04-27 13:20,1148.02
2026-04-27 13:30,1143.03
2026-04-27 13:40,1155.47
2026-04-27 13:50,1152.72
2026-04-27 14:00,1150.59
2026-04-27 14:10,1140.16
2026-04-27 14:20,1155.07
2026-04-27 14:30,1153.61
2026-04-27 14:40,1143.71
2026-04-27 14:50,1137.32
2026-04-27 15:00,1136.6
2026-04-27 15:10,1142.12
2026-04-27 15:20,1134.57
2026-04-27 15:30,1138.1
2026-04-27 15:40,1142.85
2026-04-27 15:50,1129.03
2026-04-27 16:00,1145.77
2026-04-27 16:10,1142.76
2026-04-27 16:20,1127.95
2026-04-27 16:30,1126.29
2026-04-27 16:40,1131.19
2026-04-27 16:50,1126.71
2026-04-27 17:00,1129.82
2026-04-27 17:10,1117.53
2026-04-27 17:20,1128.61
2026-04-27 17:30,1138.1
2026-04-27 17:40,1122.86
2026-04-27 17:50,1126.44
2026-04-27 18:00,1119.75
2026-04-27 18:10,1129.8
2026-04-27 18:20,1124.91
2026-04-27 18:30,1135.19
2026-04-27 18:40,1125.99
2026-04-27 18:50,1122.58
2026-04-27 19:00,1126.69
2026-04-27 19:10,1120.93
2026-04-27 19:20,1116.31
2026-04-27 19:30,1124.07
2026-04-27 19:40,1121.26
2026-04-27 19:50,1122.56
2026-04-27 20:00,1123.22
2026-04-27 20:10,1118.41
2026-04-27 20:20,1122.72
2026-04-27 20:30,1128.95
2026-04-27 20:40,1114.4
2026-04-27 20:50,1128.31
2026-04-27 21:00,1118.11
2026-04-27 21:10,1115.21
2026-04-27 21:20,1130.91
2026-04-27 21:30,1119.29
2026-04-27 21:40,1125.12
2026-04-27 21:50,1122.11
2026-04-27 22:00,1109.4
2026-04-27 22:10,1118.19
2026-04-27 22:20,1114.75
2026-04-27 22:30,1110.46
2026-04-27 22:40,1108.12
2026-04-27 22:50,1117.3
2026-04-27 23:00,1119.56
2026-04-27 23:10,1118.39
2026-04-27 23:20,1114.73
2026-04-27 23:30,1112.1
2026-04-27 23:40,1110.99
2026-04-27 23:50,1112.99
