timestamp,P_wh,I_raw,timestamp_unix
2026-04-27 00:00,1274.14,14.193,1777248000000
2026-04-27 00:10,1274.75,14.198,1777248600000
2026-04-27 00:20,1275.9,14.207,1777249200000
2026-04-27 00:30,1281.56,14.252,1777249800000
2026-04-27 00:40,1277.36,14.219,1777250400000
2026-04-27 00:50,1269.91,14.159,1777251000000
2026-04-27 01:00,1281.65,14.253,1777251600000
2026-04-27 01:10,1278.81,14.23,1777252200000
2026-04-27 01:20,1279.85,14.239,1777252800000
2026-04-27 01:30,1282.58,14.261,1777253400000
2026-04-27 01:40,1284.0,14.272,1777254000000
2026-04-27 01:50,1290.29,14.322,1777254600000
2026-04-27 02:00,1287.94,14.304,1777255200000
2026-04-27 02:10,1285.33,14.283,1777255800000
2026-04-27 02:20,1280.89,14.247,1777256400000
2026-04-27 02:30,1279.87,14.239,1777257000000
2026-04-27 02:40,1288.05,14.304,1777257600000
2026-04-27 02:50,1295.03,14.36,1777258200000
2026-04-27 03:00,1287.98,14.304,1777258800000
2026-04-27 03:10,1287.63,14.301,1777259400000
2026-04-27 03:20,1291.98,14.336,1777260000000
2026-04-27 03:30,1280.56,14.244,1777260600000
2026-04-27 03:40,1287.87,14.303,1777261200000
2026-04-27 03:50,1293.12,14.345,1777261800000
2026-04-27 04:00,1295.83,14.367,1777262400000
2026-04-27 04:10,1289.52,14.316,1777263000000
2026-04-27 04:20,1293.57,14.349,1777263600000
2026-04-27 04:30,1293.12,14.345,1777264200000
2026-04-27 04:40,1296.61,14.373,1777264800000
2026-04-27 04:50,1285.49,14.284,1777265400000
2026-04-27 05:00,1295.8,14.366,1777266000000
2026-04-27 05:10,1283.49,14.268,1777266600000
2026-04-27 05:20,1277.01,14.216,1777267200000
2026-04-27 05:30,1289.2,14.314,1777267800000
2026-04-27 05:40,1287.44,14.3,1777268400000
2026-04-27 05:50,1298.24,14.386,1777269000000
2026-04-27 06:00,1296.99,14.376,1777269600000
2026-04-27 06:10,1285.67,14.285,1777270200000
2026-04-27 06:20,1298.02,14.384,1777270800000
2026-04-27 06:30,1286.83,14.295,1777271400000
2026-04-27 06:40,1094.58,12.757,1777272000000
2026-04-27 06:50,1109.86,12.879,1777272600000
2026-04-27 07:00,1106.32,12.851,1777273200000
2026-04-27 07:10,1107.86,12.863,1777273800000
2026-04-27 07:20,1085.69,12.686,1777274400000
2026-04-27 07:30,1101.92,12.815,1777275000000
2026-04-27 07:40,1126.47,13.012,1777275600000
2026-04-27 07:50,1079.01,12.632,1777276200000
2026-04-27 08:00,1119.34,12.955,1777276800000
2026-04-27 08:10,1110.04,12.88,1777277400000
2026-04-27 08:20,1102.34,12.819,1777278000000
2026-04-27 08:30,1081.82,12.655,1777278600000
2026-04-27 08:40,1081.64,12.653,1777279200000
2026-04-27 08:50,1098.46,12.788,1777279800000
2026-04-27 09:00,1102.26,12.818,1777280400000
2026-04-27 09:10,1127.01,13.016,1777281000000
2026-04-27 09:20,1088.88,12.711,1777281600000
2026-04-27 09:30,1079.53,12.636,1777282200000
2026-04-27 09:40,1090.06,12.72,1777282800000
2026-04-27 09:50,1284.25,14.274,1777283400000
2026-04-27 10:00,1288.5,14.308,1777284000000
2026-04-27 10:10,1278.97,14.232,1777284600000
2026-04-27 10:20,1280.85,14.247,1777285200000
2026-04-27 10:30,1270.84,14.167,1777285800000
2026-04-27 10:40,1274.66,14.197,1777286400000
2026-04-27 10:50,1277.01,14.216,1777287000000
2026-04-27 11:00,1282.15,14.257,1777287600000
2026-04-27 11:10,1286.06,14.288,1777288200000
2026-04-27 11:20,1278.01,14.224,1777288800000
2026-04-27 11:30,1278.92,14.231,1777289400000
2026-04-27 11:40,1277.58,14.221,1777290000000
2026-04-27 11:50,1282.29,14.258,1777290600000
2026-04-27 12:00,1280.36,14.243,1777291200000
2026-04-27 12:10,1275.86,14.207,1777291800000
2026-04-27 12:20,1267.37,14.139,1777292400000
2026-04-27 12:30,1278.07,14.225,1777293000000
2026-04-27 12:40,1274.16,14.193,1777293600000
2026-04-27 12:50,1278.47,14.228,1777294200000
2026-04-27 13:00,1270.16,14.161,1777294800000
2026-04-27 13:10,1281.31,14.25,1777295400000
2026-04-27 13:20,1266.69,14.134,1777296000000
2026-04-27 13:30,1277.67,14.221,1777296600000
2026-04-27 13:40,1268.08,14.145,1777297200000
2026-04-27 13:50,1263.59,14.109,1777297800000
2026-04-27 14:00,1259.23,14.074,1777298400000
2026-04-27 14:10,1264.42,14.115,1777299000000
2026-04-27 14:20,1273.22,14.186,1777299600000
2026-04-27 14:30,1268.94,14.152,1777300200000
2026-04-27 14:40,1267.56,14.14,1777300800000
2026-04-27 14:50,1248.58,13.989,1777301400000
2026-04-27 15:00,1266.54,14.132,1777302000000
2026-04-27 15:10,1265.06,14.12,1777302600000
2026-04-27 15:20,1257.91,14.063,1777303200000
2026-04-27 15:30,1256.96,14.056,1777303800000
2026-04-27 15:40,1260.24,14.082,1777304400000
2026-04-27 15:50,1270.17,14.161,1777305000000
2026-04-27 16:00,1253.08,14.025,1777305600000
2026-04-27 16:10,1256.47,14.052,1777306200000
2026-04-27 16:20,1266.86,14.135,1777306800000
2026-04-27 16:30,1255.69,14.046,1777307400000
2026-04-27 16:40,1255.9,14.047,1777308000000
2026-04-27 16:50,1258.42,14.067,1777308600000
2026-04-27 17:00,1250.17,14.001,1777309200000
2026-04-27 17:10,1258.75,14.07,1777309800000
2026-04-27 17:20,1250.02,14.0,1777310400000
2026-04-27 17:30,1262.47,14.1,1777311000000
2026-04-27 17:40,1257.09,14.057,1777311600000
2026-04-27 17:50,1270.72,14.166,1777312200000
2026-04-27 18:00,1258.69,14.07,1777312800000
2026-04-27 18:10,1265.21,14.122,1777313400000
2026-04-27 18:20,1249.25,13.994,1777314000000
2026-04-27 18:30,1256.42,14.051,1777314600000
2026-04-27 18:40,1259.21,14.074,1777315200000
2026-04-27 18:50,1267.9,14.143,1777315800000
2026-04-27 19:00,1247.53,13.98,1777316400000
2026-04-27 19:10,1263.78,14.11,1777317000000
2026-04-27 19:20,1261.63,14.093,1777317600000
2026-04-27 19:30,1267.57,14.141,1777318200000
2026-04-27 19:40,1262.96,14.104,1777318800000
2026-04-27 19:50,1259.35,14.075,1777319400000
2026-04-27 20:00,1256.28,14.05,1777320000000
2026-04-27 20:10,1252.33,14.019,1777320600000
2026-04-27 20:20,1261.43,14.091,1777321200000
2026-04-27 20:30,1259.57,14.077,1777321800000
2026-04-27 20:40,1273.33,14.187,1777322400000
2026-04-27 20:50,1258.06,14.064,1777323000000
2026-04-27 21:00,1264.19,14.114,1777323600000
2026-04-27 21:10,1253.43,14.027,1777324200000
2026-04-27 21:20,1261.06,14.088,1777324800000
2026-04-27 21:30,1265.61,14.125,1777325400000
2026-04-27 21:40,1269.62,14.157,1777326000000
2026-04-27 21:50,1274.02,14.192,1777326600000
2026-04-27 22:00,1265.74,14.126,1777327200000
2026-04-27 22:10,1259.99,14.08,1777327800000
2026-04-27 22:20,1270.14,14.161,1777328400000
