timestamp,mpos_actual,pos_setpoint,drive_signal
2026-04-27 00:00,47.37,47.5,11.57
2026-04-27 00:10,47.26,47.57,11.62
2026-04-27 00:20,47.63,47.63,11.57
2026-04-27 00:30,47.36,47.7,11.62
2026-04-27 00:40,47.92,47.76,11.59
2026-04-27 00:50,48.02,47.82,11.61
2026-04-27 01:00,48.98,47.89,11.62
2026-04-27 01:10,47.64,47.95,11.68
2026-04-27 01:20,47.65,48.01,11.72
2026-04-27 01:30,48.79,48.07,11.67
2026-04-27 01:40,50.68,48.13,11.68
2026-04-27 01:50,45.45,48.19,11.78
2026-04-27 02:00,42.72,48.25,11.67
2026-04-27 02:10,44.35,48.31,11.79
2026-04-27 02:20,48.76,48.36,11.7
2026-04-27 02:30,53.26,48.41,11.71
2026-04-27 02:40,54.45,48.46,11.74
2026-04-27 02:50,50.0,48.51,11.81
2026-04-27 03:00,45.8,48.56,11.82
2026-04-27 03:10,42.65,48.61,11.79
2026-04-27 03:20,44.59,48.65,11.8
2026-04-27 03:30,49.11,48.69,11.95
2026-04-27 03:40,53.54,48.73,11.81
2026-04-27 03:50,55.23,48.77,11.76
2026-04-27 04:00,50.67,48.8,11.74
2026-04-27 04:10,46.12,48.83,11.84
2026-04-27 04:20,43.23,48.86,11.75
2026-04-27 04:30,44.85,48.89,11.88
2026-04-27 04:40,49.27,48.91,11.83
2026-04-27 04:50,54.14,48.93,11.85
2026-04-27 05:00,54.94,48.95,11.78
2026-04-27 05:10,51.09,48.96,11.77
2026-04-27 05:20,46.22,48.98,11.86
2026-04-27 05:30,43.01,48.99,11.85
2026-04-27 05:40,44.0,48.99,11.88
2026-04-27 05:50,49.32,49.0,11.85
2026-04-27 06:00,54.44,49.0,11.8
2026-04-27 06:10,55.19,49.0,11.85
2026-04-27 06:20,51.11,48.99,11.87
2026-04-27 06:30,45.39,48.99,11.87
2026-04-27 06:40,43.05,48.98,11.89
2026-04-27 06:50,44.58,48.96,11.82
2026-04-27 07:00,49.7,48.95,11.83
2026-04-27 07:10,53.51,48.93,11.82
2026-04-27 07:20,55.09,48.91,11.82
2026-04-27 07:30,50.54,48.89,11.86
2026-04-27 07:40,44.93,48.86,11.71
2026-04-27 07:50,42.87,48.83,11.82
