timestamp,mass_flow_gas,vol_flow_gas,density_gas,T_injection
2026-04-27 00:00,101667.1,2.0917,41.19,67.08
2026-04-27 00:10,102135.1,2.1074,41.07,67.14
2026-04-27 00:20,104963.2,2.1167,42.02,66.92
2026-04-27 00:30,104949.1,2.1472,41.42,66.61
2026-04-27 00:40,104075.8,2.127,41.47,66.92
2026-04-27 00:50,104350.9,2.1406,41.31,67.43
2026-04-27 01:00,104500.0,2.1186,41.8,67.38
2026-04-27 01:10,103553.9,2.1359,41.09,67.47
2026-04-27 01:20,106214.6,2.1279,42.3,67.39
2026-04-27 01:30,104479.8,2.1494,41.19,67.2
2026-04-27 01:40,103430.9,2.1362,41.03,67.05
2026-04-27 01:50,104434.6,2.1342,41.47,67.42
2026-04-27 02:00,105753.8,2.1679,41.34,67.57
2026-04-27 02:10,104568.9,2.1394,41.42,67.49
2026-04-27 02:20,102618.2,2.0942,41.53,67.3
2026-04-27 02:30,102190.5,2.1255,40.75,67.38
2026-04-27 02:40,103921.0,2.1045,41.85,67.45
2026-04-27 02:50,102753.0,2.112,41.23,67.73
2026-04-27 03:00,104594.6,2.1417,41.39,67.47
2026-04-27 03:10,103838.8,2.1558,40.82,67.58
2026-04-27 03:20,108148.6,2.1473,42.68,67.56
2026-04-27 03:30,106391.3,2.1521,41.9,67.6
2026-04-27 03:40,105460.2,2.1719,41.15,68.04
2026-04-27 03:50,105753.9,2.1518,41.65,67.96
2026-04-27 04:00,105856.8,2.1617,41.5,67.84
2026-04-27 04:10,106021.9,2.188,41.06,67.75
2026-04-27 04:20,104474.2,2.1489,41.2,67.56
2026-04-27 04:30,109606.2,2.2043,42.14,68.39
2026-04-27 04:40,105585.8,2.1738,41.16,67.51
2026-04-27 04:50,106931.8,2.2165,40.88,67.68
2026-04-27 05:00,107714.8,2.1631,42.2,67.52
2026-04-27 05:10,107190.2,2.1615,42.03,67.74
2026-04-27 05:20,101447.2,2.1028,40.88,67.77
2026-04-27 05:30,97582.3,2.0435,40.47,67.9
2026-04-27 05:40,96991.2,2.0135,40.82,67.44
2026-04-27 05:50,94764.4,1.9451,41.29,67.72
2026-04-27 06:00,92009.3,1.8973,41.1,67.88
2026-04-27 06:10,91211.4,1.8645,41.46,67.74
2026-04-27 06:20,89997.5,1.8405,41.44,68.01
2026-04-27 06:30,88365.5,1.7892,41.86,68.1
2026-04-27 06:40,84671.5,1.7138,41.87,68.23
2026-04-27 06:50,82242.2,1.68,41.49,67.69
2026-04-27 07:00,81850.4,1.6631,41.71,67.61
2026-04-27 07:10,79392.3,1.6347,41.16,67.73
2026-04-27 07:20,79056.5,1.5846,42.28,67.62
2026-04-27 07:30,75349.3,1.5354,41.59,67.34
2026-04-27 07:40,70717.5,1.4611,41.02,67.6
2026-04-27 07:50,69847.9,1.426,41.51,68.03
2026-04-27 08:00,70065.1,1.3951,42.56,67.63
2026-04-27 08:10,66671.8,1.3561,41.67,68.05
2026-04-27 08:20,63865.6,1.2936,41.84,68.06
2026-04-27 08:30,62992.1,1.2873,41.47,67.76
2026-04-27 08:40,62650.4,1.2902,41.15,68.07
2026-04-27 08:50,64324.0,1.2919,42.19,67.46
2026-04-27 09:00,63697.9,1.2908,41.82,67.51
2026-04-27 09:10,62195.4,1.2789,41.21,67.61
2026-04-27 09:20,62777.1,1.2809,41.54,66.95
2026-04-27 09:30,62614.2,1.2808,41.43,67.36
2026-04-27 09:40,61789.9,1.2726,41.15,67.48
2026-04-27 09:50,63194.1,1.3081,40.94,67.36
2026-04-27 10:00,63800.2,1.2987,41.63,67.38
2026-04-27 10:10,62464.5,1.2754,41.51,67.34
2026-04-27 10:20,60668.1,1.2475,41.21,66.85
2026-04-27 10:30,64054.0,1.2977,41.83,67.11
2026-04-27 10:40,64586.5,1.2885,42.48,67.12
2026-04-27 10:50,63584.8,1.2939,41.65,67.18
2026-04-27 11:00,61168.7,1.2558,41.28,67.11
2026-04-27 11:10,60819.3,1.2357,41.71,67.09
2026-04-27 11:20,62195.4,1.2752,41.33,67.89
2026-04-27 11:30,60244.9,1.2414,41.13,67.28
2026-04-27 11:40,63030.7,1.2996,41.1,67.53
2026-04-27 11:50,61893.2,1.2483,42.02,67.05
2026-04-27 12:00,64428.2,1.2934,42.21,66.84
2026-04-27 12:10,63065.3,1.3019,41.05,66.89
2026-04-27 12:20,62380.4,1.2829,41.21,66.77
2026-04-27 12:30,61759.5,1.2557,41.68,66.99
2026-04-27 12:40,60861.6,1.2405,41.58,67.02
2026-04-27 12:50,62495.3,1.2722,41.63,66.51
2026-04-27 13:00,60749.1,1.248,41.25,67.12
2026-04-27 13:10,60087.1,1.2204,41.72,66.49
2026-04-27 13:20,62292.2,1.2627,41.81,66.78
2026-04-27 13:30,60974.9,1.2492,41.37,66.86
2026-04-27 13:40,61100.0,1.239,41.79,66.68
2026-04-27 13:50,58503.2,1.2006,41.29,67.01
2026-04-27 14:00,61656.0,1.2578,41.54,66.57
2026-04-27 14:10,60558.8,1.2292,41.75,66.71
2026-04-27 14:20,60015.1,1.2178,41.76,66.85
2026-04-27 14:30,59462.6,1.2165,41.43,66.63
2026-04-27 14:40,60476.1,1.24,41.33,66.35
2026-04-27 14:50,59995.4,1.2206,41.65,66.57
2026-04-27 15:00,59236.6,1.2258,40.95,66.16
2026-04-27 15:10,59725.7,1.2342,41.01,66.47
2026-04-27 15:20,59290.4,1.2178,41.26,66.39
2026-04-27 15:30,61238.7,1.2471,41.62,66.29
2026-04-27 15:40,58984.3,1.1986,41.7,66.63
2026-04-27 15:50,60842.1,1.2286,41.97,66.44
2026-04-27 16:00,58683.8,1.1989,41.48,66.44
2026-04-27 16:10,59861.0,1.2282,41.3,66.27
2026-04-27 16:20,60573.9,1.222,42.01,66.53
2026-04-27 16:30,60234.5,1.2253,41.66,66.0
2026-04-27 16:40,58632.7,1.1984,41.46,66.51
2026-04-27 16:50,60074.0,1.2202,41.72,65.86
2026-04-27 17:00,58988.0,1.1917,41.95,66.22
2026-04-27 17:10,58939.3,1.1934,41.85,66.28
2026-04-27 17:20,62297.0,1.257,42.0,66.3
2026-04-27 17:30,59393.4,1.2101,41.59,66.18
2026-04-27 17:40,58825.0,1.1906,41.87,66.27
2026-04-27 17:50,56979.2,1.1707,41.25,65.99
2026-04-27 18:00,60046.6,1.2267,41.48,66.57
2026-04-27 18:10,57581.5,1.1882,41.07,66.47
2026-04-27 18:20,58278.5,1.2024,41.08,66.07
2026-04-27 18:30,59119.4,1.201,41.72,66.49
2026-04-27 18:40,58058.5,1.1889,41.38,66.22
2026-04-27 18:50,59945.3,1.2144,41.83,66.25
2026-04-27 19:00,58373.5,1.2049,41.06,65.77
2026-04-27 19:10,59196.1,1.2087,41.51,66.47
2026-04-27 19:20,60542.2,1.2092,42.43,66.23
2026-04-27 19:30,59392.6,1.2084,41.65,66.02
2026-04-27 19:40,58537.1,1.2196,40.67,66.44
2026-04-27 19:50,59787.3,1.2184,41.58,66.33
2026-04-27 20:00,58222.2,1.1993,41.14,66.7
2026-04-27 20:10,59737.2,1.2269,41.26,66.43
2026-04-27 20:20,61208.0,1.2268,42.28,66.62
2026-04-27 20:30,59879.0,1.2281,41.32,66.81
2026-04-27 20:40,59325.0,1.2217,41.15,66.08
2026-04-27 20:50,59127.5,1.2117,41.35,66.6
2026-04-27 21:00,61384.4,1.2398,41.96,66.47
2026-04-27 21:10,62047.3,1.24,42.4,66.69
2026-04-27 21:20,60475.1,1.2532,40.9,66.3
2026-04-27 21:30,58178.6,1.2195,40.43,66.53
2026-04-27 21:40,61060.1,1.2534,41.29,66.59
2026-04-27 21:50,59528.4,1.2214,41.3,66.64
2026-04-27 22:00,60323.5,1.2181,41.97,66.12
2026-04-27 22:10,60565.3,1.2427,41.3,67.0
2026-04-27 22:20,60037.6,1.2511,40.67,66.06
2026-04-27 22:30,59776.4,1.2266,41.3,66.65
2026-04-27 22:40,61316.0,1.244,41.77,66.38
2026-04-27 22:50,59818.0,1.2186,41.6,66.67
2026-04-27 23:00,60640.4,1.246,41.24,66.75
2026-04-27 23:10,61310.8,1.2719,40.85,66.52
2026-04-27 23:20,62698.4,1.2613,42.13,66.81
2026-04-27 23:30,59301.6,1.2348,40.7,66.96
2026-04-27 23:40,61849.9,1.2371,42.37,67.52
2026-04-27 23:50,62054.9,1.2613,41.69,66.94
