timestamp,BSW_pct,watercut_raw,f_resonance
2026-04-27 00:00,12.166,12.166,2.9079
2026-04-27 00:10,11.799,11.799,2.9295
2026-04-27 00:20,12.04,12.04,2.8932
2026-04-27 00:30,12.005,12.005,2.9162
2026-04-27 00:40,12.142,12.142,2.9211
2026-04-27 00:50,12.068,12.068,2.9188
2026-04-27 01:00,12.058,12.058,2.9064
2026-04-27 01:10,11.837,11.837,2.9096
2026-04-27 01:20,11.732,11.732,2.9262
2026-04-27 01:30,12.216,12.216,2.9239
2026-04-27 01:40,11.88,11.88,2.9127
2026-04-27 01:50,11.912,11.912,2.9292
2026-04-27 02:00,12.105,12.105,2.9353
2026-04-27 02:10,11.806,11.806,2.9159
2026-04-27 02:20,11.748,11.748,2.9041
2026-04-27 02:30,11.969,11.969,2.9147
2026-04-27 02:40,11.897,11.897,2.9028
2026-04-27 02:50,12.039,12.039,2.9151
2026-04-27 03:00,12.183,12.183,2.9233
2026-04-27 03:10,11.738,11.738,2.9222
2026-04-27 03:20,11.88,11.88,2.9334
2026-04-27 03:30,12.174,12.174,2.9128
2026-04-27 03:40,12.279,12.279,2.9027
2026-04-27 03:50,12.795,12.795,2.9384
2026-04-27 04:00,12.374,12.374,2.9151
2026-04-27 04:10,12.878,12.878,2.9112
2026-04-27 04:20,13.324,13.324,2.9292
2026-04-27 04:30,13.211,13.211,2.9375
2026-04-27 04:40,13.447,13.447,2.9141
2026-04-27 04:50,13.676,13.676,2.9089
2026-04-27 05:00,14.091,14.091,2.9221
2026-04-27 05:10,13.909,13.909,2.9142
2026-04-27 05:20,13.978,13.978,2.9186
2026-04-27 05:30,14.081,14.081,2.916
2026-04-27 05:40,14.417,14.417,2.9213
2026-04-27 05:50,14.909,14.909,2.923
2026-04-27 06:00,14.855,14.855,2.908
2026-04-27 06:10,15.0,15.0,2.9148
2026-04-27 06:20,15.338,15.338,2.909
2026-04-27 06:30,15.227,15.227,2.9165
2026-04-27 06:40,15.872,15.872,2.9329
2026-04-27 06:50,15.939,15.939,2.9042
2026-04-27 07:00,16.242,16.242,2.9053
2026-04-27 07:10,15.986,15.986,2.9183
2026-04-27 07:20,16.044,16.044,2.922
2026-04-27 07:30,16.489,16.489,2.9175
2026-04-27 07:40,16.515,16.515,2.9219
2026-04-27 07:50,16.963,16.963,2.9094
2026-04-27 08:00,17.229,17.229,2.8862
2026-04-27 08:10,17.292,17.292,2.9116
2026-04-27 08:20,17.241,17.241,2.9145
2026-04-27 08:30,17.68,17.68,2.905
2026-04-27 08:40,17.736,17.736,2.9118
2026-04-27 08:50,18.019,18.019,2.9242
2026-04-27 09:00,18.027,18.027,2.9251
2026-04-27 09:10,18.039,18.039,2.915
2026-04-27 09:20,18.136,18.136,2.9126
2026-04-27 09:30,18.804,18.804,2.9314
2026-04-27 09:40,18.85,18.85,2.9037
2026-04-27 09:50,19.225,19.225,2.9112
2026-04-27 10:00,19.22,19.22,2.92
2026-04-27 10:10,19.599,19.599,2.8931
2026-04-27 10:20,19.57,19.57,2.9103
2026-04-27 10:30,19.526,19.526,2.8942
2026-04-27 10:40,19.907,19.907,2.9055
2026-04-27 10:50,19.955,19.955,2.9087
2026-04-27 11:00,20.21,20.21,2.91
2026-04-27 11:10,20.775,20.775,2.9089
2026-04-27 11:20,21.016,21.016,2.9214
2026-04-27 11:30,21.014,21.014,2.9017
2026-04-27 11:40,20.941,20.941,2.8999
2026-04-27 11:50,21.263,21.263,2.9081
2026-04-27 12:00,21.448,21.448,2.9116
2026-04-27 12:10,21.574,21.574,2.9049
2026-04-27 12:20,21.525,21.525,2.9041
2026-04-27 12:30,22.043,22.043,2.9063
2026-04-27 12:40,22.068,22.068,2.9166
2026-04-27 12:50,22.358,22.358,2.8929
