timestamp,mass_flow_rate,vol_flow_rate,density_fluid,T_coriolis,phase_shift
2026-04-28 00:00,106172.0,18408,870.66,74.27,0.004297
2026-04-28 00:10,106840.0,18515,871.07,74.01,0.004144
2026-04-28 00:20,107160.3,18575,870.87,74.77,0.004273
2026-04-28 00:30,106270.4,18464,868.83,73.77,0.004208
2026-04-28 00:40,106714.1,18481,871.63,74.12,0.004264
2026-04-28 00:50,107240.4,18598,870.41,73.95,0.004197
2026-04-28 01:00,107005.3,18569,869.88,74.35,0.004268
2026-04-28 01:10,107220.9,18583,870.99,74.46,0.004364
2026-04-28 01:20,105787.9,18371,869.23,74.79,0.003948
2026-04-28 01:30,108199.6,18771,870.1,73.85,0.004273
2026-04-28 01:40,106974.8,18584,868.9,74.95,0.004161
2026-04-28 01:50,107539.8,18607,872.41,74.83,0.004167
2026-04-28 02:00,107379.1,18636,869.76,75.07,0.004102
2026-04-28 02:10,107460.5,18613,871.53,74.56,0.00421
2026-04-28 02:20,108126.7,18771,869.53,73.96,0.004179
2026-04-28 02:30,108921.6,18842,872.61,74.7,0.004197
2026-04-28 02:40,108821.4,18866,870.71,74.86,0.004002
2026-04-28 02:50,108018.1,18736,870.26,74.36,0.004163
2026-04-28 03:00,108999.8,18919,869.69,74.42,0.004011
2026-04-28 03:10,108228.8,18794,869.31,74.62,0.004223
2026-04-28 03:20,108544.1,18829,870.21,75.02,0.004077
2026-04-28 03:30,108105.6,18766,869.61,74.94,0.004299
2026-04-28 03:40,108057.3,18769,869.07,75.43,0.004216
2026-04-28 03:50,107874.1,18725,869.63,74.64,0.004086
2026-04-28 04:00,107883.4,18739,869.04,75.66,0.004301
2026-04-28 04:10,109466.5,18965,871.31,75.02,0.00424
2026-04-28 04:20,108597.2,18870,868.72,74.74,0.00429
2026-04-28 04:30,108218.7,18772,870.24,75.3,0.004275
2026-04-28 04:40,108776.7,18905,868.56,75.29,0.004186
2026-04-28 04:50,108071.3,18803,867.61,75.28,0.004045
2026-04-28 05:00,108320.8,18749,872.1,74.8,0.004158
2026-04-28 05:10,108915.0,18896,870.08,74.87,0.004129
2026-04-28 05:20,109220.4,18958,869.67,75.17,0.003984
2026-04-28 05:30,108770.2,18850,871.03,74.97,0.004105
2026-04-28 05:40,109180.1,18928,870.72,75.3,0.004143
2026-04-28 05:50,109514.9,18959,871.95,75.55,0.004044
2026-04-28 06:00,110075.0,19134,868.41,74.83,0.00423
2026-04-28 06:10,108934.5,18892,870.43,75.59,0.004293
2026-04-28 06:20,108516.0,18826,870.09,75.5,0.004305
2026-04-28 06:30,109548.1,18986,870.98,75.4,0.004149
2026-04-28 06:40,108346.3,18788,870.51,75.05,0.004324
