timestamp,P_ann,masp
2026-04-28 00:00,412.12,1800.0
2026-04-28 00:10,415.67,1800.0
2026-04-28 00:20,415.14,1800.0
2026-04-28 00:30,414.56,1800.0
2026-04-28 00:40,415.78,1800.0
2026-04-28 00:50,414.45,1800.0
2026-04-28 01:00,413.99,1800.0
2026-04-28 01:10,419.36,1800.0
2026-04-28 01:20,417.99,1800.0
2026-04-28 01:30,416.16,1800.0
2026-04-28 01:40,413.61,1800.0
2026-04-28 01:50,416.42,1800.0
2026-04-28 02:00,418.15,1800.0
2026-04-28 02:10,417.49,1800.0
2026-04-28 02:20,419.31,1800.0
2026-04-28 02:30,419.89,1800.0
2026-04-28 02:40,417.4,1800.0
2026-04-28 02:50,416.77,1800.0
2026-04-28 03:00,416.84,1800.0
2026-04-28 03:10,417.12,1800.0
2026-04-28 03:20,419.87,1800.0
2026-04-28 03:30,417.33,1800.0
2026-04-28 03:40,414.92,1800.0
2026-04-28 03:50,419.3,1800.0
2026-04-28 04:00,418.27,1800.0
2026-04-28 04:10,417.61,1800.0
2026-04-28 04:20,414.7,1800.0
2026-04-28 04:30,421.04,1800.0
2026-04-28 04:40,420.15,1800.0
2026-04-28 04:50,416.54,1800.0
2026-04-28 05:00,419.17,1800.0
2026-04-28 05:10,416.74,1800.0
2026-04-28 05:20,416.22,1800.0
2026-04-28 05:30,414.77,1800.0
2026-04-28 05:40,420.54,1800.0
2026-04-28 05:50,420.76,1800.0
2026-04-28 06:00,418.38,1800.0
2026-04-28 06:10,418.88,1800.0
2026-04-28 06:20,422.49,1800.0
2026-04-28 06:30,417.45,1800.0
2026-04-28 06:40,416.57,1800.0
2026-04-28 06:50,419.16,1800.0
2026-04-28 07:00,419.96,1800.0
2026-04-28 07:10,418.22,1800.0
2026-04-28 07:20,415.91,1800.0
2026-04-28 07:30,417.16,1800.0
2026-04-28 07:40,420.0,1800.0
2026-04-28 07:50,419.98,1800.0
2026-04-28 08:00,415.12,1800.0
2026-04-28 08:10,415.93,1800.0
2026-04-28 08:20,416.31,1800.0
2026-04-28 08:30,418.12,1800.0
2026-04-28 08:40,422.48,1800.0
2026-04-28 08:50,417.38,1800.0
2026-04-28 09:00,417.95,1800.0
2026-04-28 09:10,416.11,1800.0
2026-04-28 09:20,422.74,1800.0
2026-04-28 09:30,416.23,1800.0
2026-04-28 09:40,416.27,1800.0
2026-04-28 09:50,417.46,1800.0
2026-04-28 10:00,414.35,1800.0
2026-04-28 10:10,418.46,1800.0
2026-04-28 10:20,416.67,1800.0
2026-04-28 10:30,414.85,1800.0
2026-04-28 10:40,415.18,1800.0
2026-04-28 10:50,412.41,1800.0
2026-04-28 11:00,414.92,1800.0
2026-04-28 11:10,411.32,1800.0
2026-04-28 11:20,414.79,1800.0
2026-04-28 11:30,414.53,1800.0
2026-04-28 11:40,414.17,1800.0
2026-04-28 11:50,414.01,1800.0
2026-04-28 12:00,413.32,1800.0
2026-04-28 12:10,417.29,1800.0
2026-04-28 12:20,417.53,1800.0
2026-04-28 12:30,414.14,1800.0
2026-04-28 12:40,416.59,1800.0
2026-04-28 12:50,413.52,1800.0
2026-04-28 13:00,413.36,1800.0
2026-04-28 13:10,412.14,1800.0
2026-04-28 13:20,415.03,1800.0
2026-04-28 13:30,415.11,1800.0
2026-04-28 13:40,411.53,1800.0
2026-04-28 13:50,414.67,1800.0
2026-04-28 14:00,413.57,1800.0
2026-04-28 14:10,413.05,1800.0
2026-04-28 14:20,415.05,1800.0
2026-04-28 14:30,411.53,1800.0
2026-04-28 14:40,414.76,1800.0
2026-04-28 14:50,419.68,1800.0
2026-04-28 15:00,417.04,1800.0
2026-04-28 15:10,414.18,1800.0
2026-04-28 15:20,417.84,1800.0
2026-04-28 15:30,417.2,1800.0
2026-04-28 15:40,416.68,1800.0
2026-04-28 15:50,416.45,1800.0
2026-04-28 16:00,417.94,1800.0
2026-04-28 16:10,417.07,1800.0
2026-04-28 16:20,418.23,1800.0
2026-04-28 16:30,420.38,1800.0
2026-04-28 16:40,420.87,1800.0
2026-04-28 16:50,416.99,1800.0
2026-04-28 17:00,419.0,1800.0
2026-04-28 17:10,423.51,1800.0
2026-04-28 17:20,424.25,1800.0
2026-04-28 17:30,421.77,1800.0
2026-04-28 17:40,424.63,1800.0
2026-04-28 17:50,424.22,1800.0
2026-04-28 18:00,421.94,1800.0
2026-04-28 18:10,418.61,1800.0
2026-04-28 18:20,422.89,1800.0
2026-04-28 18:30,420.87,1800.0
2026-04-28 18:40,424.13,1800.0
2026-04-28 18:50,427.79,1800.0
2026-04-28 19:00,425.23,1800.0
2026-04-28 19:10,423.61,1800.0
2026-04-28 19:20,423.3,1800.0
2026-04-28 19:30,422.18,1800.0
2026-04-28 19:40,422.76,1800.0
2026-04-28 19:50,430.31,1800.0
2026-04-28 20:00,429.25,1800.0
2026-04-28 20:10,427.76,1800.0
2026-04-28 20:20,428.22,1800.0
2026-04-28 20:30,428.92,1800.0
2026-04-28 20:40,429.51,1800.0
2026-04-28 20:50,432.84,1800.0
2026-04-28 21:00,431.35,1800.0
2026-04-28 21:10,427.13,1800.0
2026-04-28 21:20,433.75,1800.0
2026-04-28 21:30,428.31,1800.0
2026-04-28 21:40,431.89,1800.0
2026-04-28 21:50,430.48,1800.0
2026-04-28 22:00,433.88,1800.0
2026-04-28 22:10,431.84,1800.0
2026-04-28 22:20,432.15,1800.0
2026-04-28 22:30,433.38,1800.0
2026-04-28 22:40,437.66,1800.0
2026-04-28 22:50,436.23,1800.0
2026-04-28 23:00,438.3,1800.0
2026-04-28 23:10,439.85,1800.0
2026-04-28 23:20,437.78,1800.0
2026-04-28 23:30,438.62,1800.0
2026-04-28 23:40,435.71,1800.0
2026-04-28 23:50,437.66,1800.0
