timestamp,GOR,Q_oil,Q_gas,Q_water
2026-04-28 00:00,882.3,17937,15.8259,2386
2026-04-28 00:10,888.5,17921,15.9225,2411
2026-04-28 00:20,881.1,17908,15.7793,2374
2026-04-28 00:30,875.3,17912,15.6779,2426
2026-04-28 00:40,880.8,17925,15.7877,2393
2026-04-28 00:50,877.0,17900,15.6986,2411
2026-04-28 01:00,878.4,17870,15.6968,2385
2026-04-28 01:10,886.0,17826,15.7936,2408
2026-04-28 01:20,887.2,17910,15.8904,2383
2026-04-28 01:30,888.0,17844,15.8459,2377
2026-04-28 01:40,892.7,17833,15.9206,2380
2026-04-28 01:50,882.3,17932,15.8219,2356
2026-04-28 02:00,882.8,17845,15.754,2449
2026-04-28 02:10,885.8,17874,15.8337,2403
2026-04-28 02:20,895.5,17796,15.9369,2367
2026-04-28 02:30,890.9,17868,15.9187,2356
2026-04-28 02:40,884.0,17907,15.83,2409
2026-04-28 02:50,905.8,17818,16.1398,2355
2026-04-28 03:00,880.9,17948,15.8118,2373
2026-04-28 03:10,878.9,17940,15.7682,2377
2026-04-28 03:20,900.4,17910,16.1271,2380
2026-04-28 03:30,899.1,17940,16.1297,2445
2026-04-28 03:40,889.0,17884,15.8986,2444
2026-04-28 03:50,901.5,17912,16.1492,2374
2026-04-28 04:00,884.6,17828,15.7713,2370
2026-04-28 04:10,891.7,17840,15.9074,2421
2026-04-28 04:20,873.0,17859,15.5911,2379
2026-04-28 04:30,898.7,17926,16.1107,2363
2026-04-28 04:40,895.9,17847,15.9903,2408
2026-04-28 04:50,884.5,17906,15.8391,2444
2026-04-28 05:00,910.8,17954,16.353,2369
2026-04-28 05:10,890.5,17853,15.8983,2381
2026-04-28 05:20,880.8,17868,15.7384,2433
2026-04-28 05:30,912.7,17921,16.358,2406
2026-04-28 05:40,900.3,17820,16.0447,2374
2026-04-28 05:50,901.4,17888,16.125,2388
2026-04-28 06:00,901.8,17804,16.0568,2435
2026-04-28 06:10,888.5,17928,15.929,2400
2026-04-28 06:20,900.8,17949,16.1685,2369
2026-04-28 06:30,901.6,17925,16.1609,2442
2026-04-28 06:40,890.5,17959,15.9937,2421
2026-04-28 06:50,891.1,17950,15.9954,2388
2026-04-28 07:00,901.8,17894,16.1376,2403
2026-04-28 07:10,894.8,17950,16.0632,2397
2026-04-28 07:20,898.7,17929,16.1144,2374
2026-04-28 07:30,901.3,17973,16.1988,2415
2026-04-28 07:40,896.8,17857,16.0153,2438
2026-04-28 07:50,881.0,17907,15.7769,2446
2026-04-28 08:00,887.5,17926,15.9098,2378
2026-04-28 08:10,897.9,17829,16.0092,2387
2026-04-28 08:20,887.2,17905,15.8851,2348
2026-04-28 08:30,904.0,17915,16.1949,2385
2026-04-28 08:40,903.4,17898,16.1698,2407
2026-04-28 08:50,893.4,17979,16.0623,2404
2026-04-28 09:00,882.1,17904,15.7929,2412
2026-04-28 09:10,889.9,17867,15.9008,2375
2026-04-28 09:20,876.1,17924,15.7027,2374
2026-04-28 09:30,884.0,17925,15.846,2432
2026-04-28 09:40,880.3,17882,15.7422,2388
2026-04-28 09:50,892.1,17847,15.9223,2375
2026-04-28 10:00,890.9,17869,15.9195,2369
2026-04-28 10:10,886.8,17854,15.8337,2391
2026-04-28 10:20,896.6,17891,16.0414,2395
2026-04-28 10:30,882.0,17823,15.7203,2405
2026-04-28 10:40,893.3,17963,16.0458,2485
2026-04-28 10:50,882.1,17910,15.7993,2366
2026-04-28 11:00,898.7,17949,16.1313,2428
2026-04-28 11:10,888.0,17893,15.8897,2323
2026-04-28 11:20,892.6,17933,16.0074,2407
2026-04-28 11:30,875.3,17943,15.7067,2408
2026-04-28 11:40,882.9,17844,15.7553,2366
2026-04-28 11:50,879.9,17894,15.7462,2368
2026-04-28 12:00,893.9,17878,15.9808,2398
2026-04-28 12:10,881.4,17973,15.8424,2376
2026-04-28 12:20,877.2,17836,15.6461,2431
2026-04-28 12:30,881.5,17907,15.785,2408
2026-04-28 12:40,891.9,17894,15.9605,2382
2026-04-28 12:50,872.1,17951,15.6559,2417
2026-04-28 13:00,880.0,17867,15.7227,2416
