timestamp,P_inject
2026-04-28 00:00,1462.66
2026-04-28 00:10,1473.4
2026-04-28 00:20,1465.01
2026-04-28 00:30,1470.33
2026-04-28 00:40,1460.26
2026-04-28 00:50,1474.87
2026-04-28 01:00,1470.33
2026-04-28 01:10,1476.66
2026-04-28 01:20,1471.37
2026-04-28 01:30,1468.54
2026-04-28 01:40,1465.95
2026-04-28 01:50,1474.89
2026-04-28 02:00,1473.82
2026-04-28 02:10,1468.05
2026-04-28 02:20,1489.35
2026-04-28 02:30,1488.42
2026-04-28 02:40,1464.79
2026-04-28 02:50,1464.78
2026-04-28 03:00,1470.52
2026-04-28 03:10,1484.68
2026-04-28 03:20,1505.59
2026-04-28 03:30,1475.38
2026-04-28 03:40,1482.94
2026-04-28 03:50,1496.75
2026-04-28 04:00,1482.69
2026-04-28 04:10,1496.1
2026-04-28 04:20,1495.13
2026-04-28 04:30,1487.86
2026-04-28 04:40,1495.55
2026-04-28 04:50,1496.33
2026-04-28 05:00,1477.93
2026-04-28 05:10,1488.01
2026-04-28 05:20,1484.59
2026-04-28 05:30,1490.02
2026-04-28 05:40,1480.2
2026-04-28 05:50,1482.0
2026-04-28 06:00,1490.45
2026-04-28 06:10,1489.92
2026-04-28 06:20,1500.99
2026-04-28 06:30,1491.47
2026-04-28 06:40,1501.08
2026-04-28 06:50,1499.89
2026-04-28 07:00,1498.25
2026-04-28 07:10,1460.56
2026-04-28 07:20,1482.31
2026-04-28 07:30,1491.8
2026-04-28 07:40,1477.07
2026-04-28 07:50,1482.95
2026-04-28 08:00,1492.0
2026-04-28 08:10,1486.47
2026-04-28 08:20,1482.69
2026-04-28 08:30,1498.69
2026-04-28 08:40,1480.77
2026-04-28 08:50,1492.32
2026-04-28 09:00,1482.28
2026-04-28 09:10,1482.68
2026-04-28 09:20,1478.2
2026-04-28 09:30,1473.49
2026-04-28 09:40,1477.57
2026-04-28 09:50,1467.51
2026-04-28 10:00,1482.39
2026-04-28 10:10,1477.45
2026-04-28 10:20,1472.04
2026-04-28 10:30,1480.92
2026-04-28 10:40,1465.21
2026-04-28 10:50,1456.78
2026-04-28 11:00,1474.84
2026-04-28 11:10,1459.39
2026-04-28 11:20,1458.18
2026-04-28 11:30,1469.57
2026-04-28 11:40,1474.91
2026-04-28 11:50,1459.86
2026-04-28 12:00,1457.86
2026-04-28 12:10,1475.96
2026-04-28 12:20,1451.52
2026-04-28 12:30,1468.52
2026-04-28 12:40,1464.1
2026-04-28 12:50,1453.78
2026-04-28 13:00,1457.44
2026-04-28 13:10,1450.6
2026-04-28 13:20,1451.12
2026-04-28 13:30,1454.21
2026-04-28 13:40,1448.78
2026-04-28 13:50,1440.28
2026-04-28 14:00,1458.2
2026-04-28 14:10,1446.73
2026-04-28 14:20,1457.03
2026-04-28 14:30,1448.55
2026-04-28 14:40,1471.43
2026-04-28 14:50,1452.57
2026-04-28 15:00,1436.55
2026-04-28 15:10,1435.59
2026-04-28 15:20,1438.68
2026-04-28 15:30,1441.74
2026-04-28 15:40,1431.3
2026-04-28 15:50,1434.91
2026-04-28 16:00,1443.47
2026-04-28 16:10,1430.32
2026-04-28 16:20,1441.54
2026-04-28 16:30,1443.77
2026-04-28 16:40,1203.47
2026-04-28 16:50,1215.99
2026-04-28 17:00,1211.53
2026-04-28 17:10,1219.34
2026-04-28 17:20,1215.7
2026-04-28 17:30,1208.51
2026-04-28 17:40,1438.83
2026-04-28 17:50,1443.72
2026-04-28 18:00,1443.02
2026-04-28 18:10,1426.48
2026-04-28 18:20,1447.51
2026-04-28 18:30,1435.73
2026-04-28 18:40,1449.45
2026-04-28 18:50,1442.03
2026-04-28 19:00,1435.66
2026-04-28 19:10,1441.16
2026-04-28 19:20,1453.03
2026-04-28 19:30,1435.91
2026-04-28 19:40,1428.67
2026-04-28 19:50,1440.78
2026-04-28 20:00,1453.42
2026-04-28 20:10,1456.62
2026-04-28 20:20,1452.78
2026-04-28 20:30,1428.2
2026-04-28 20:40,1443.95
2026-04-28 20:50,1442.74
2026-04-28 21:00,1445.91
2026-04-28 21:10,1439.35
2026-04-28 21:20,1446.73
2026-04-28 21:30,1440.31
2026-04-28 21:40,1469.22
2026-04-28 21:50,1452.05
2026-04-28 22:00,1448.36
2026-04-28 22:10,1443.54
2026-04-28 22:20,1462.1
2026-04-28 22:30,1460.1
2026-04-28 22:40,1465.75
2026-04-28 22:50,1460.26
2026-04-28 23:00,1454.78
2026-04-28 23:10,1453.77
2026-04-28 23:20,1454.54
2026-04-28 23:30,1458.5
2026-04-28 23:40,1468.3
2026-04-28 23:50,1459.5
